isBasicEconomy,isRefundable,isNonStop,totalFare,departure_hour,departure_day,departure_month,days_to_departure,DISTANCE
False,False,False,255.7,10,Wednesday,8,44,1969
True,False,True,98.6,17,Saturday,11,37,1329
False,False,False,627.1,14,Wednesday,8,40,698
True,False,True,183.6,13,Wednesday,9,44,5508
False,False,True,293.6,16,Thursday,8,7,4629
False,False,True,296.61,11,Thursday,5,2,346
False,False,True,198.6,16,Wednesday,8,7,2265
False,False,False,445.1,20,Saturday,10,38,632
False,False,False,597.21,15,Monday,9,49,1092
False,False,False,461.2,12,Monday,8,28,1644
False,False,False,351.6,14,Monday,5,2,4020
False,False,False,778.61,1,Monday,8,5,6666
False,False,False,661.59,17,Friday,7,40,3549
False,False,True,132.98,23,Friday,8,8,1810
False,False,True,176.6,22,Sunday,5,41,778
False,False,True,338.61,17,Saturday,7,21,360
False,False,False,442.1,5,Saturday,9,11,591
False,False,False,247.6,17,Wednesday,9,11,1333
False,False,False,843.1,1,Sunday,7,14,3471
False,False,True,298.6,14,Friday,7,22,3937
False,False,False,594.2,10,Friday,11,40,856
False,False,False,391.61,16,Friday,9,60,2268
False,False,False,531.6,18,Wednesday,7,18,1184
False,False,False,649.6,17,Monday,5,1,283
False,False,False,389.61,19,Saturday,5,36,254
False,False,False,654.6,12,Saturday,7,36,4013
False,False,False,227.6,10,Saturday,5,38,4995
False,False,False,137.62,20,Thursday,9,46,1461
False,False,False,417.61,5,Monday,8,32,914
True,False,False,203.6,13,Tuesday,9,21,929
True,False,False,202.2,0,Tuesday,10,38,1520
False,False,False,670.6,14,Wednesday,6,16,2288
False,False,False,431.58,13,Sunday,5,3,721
False,False,False,424.58,12,Sunday,7,18,2614
False,False,False,152.6,16,Monday,8,41,4231
False,False,False,554.6,1,Saturday,5,29,2370
False,False,True,128.6,15,Wednesday,7,24,98
False,False,True,238.6,15,Saturday,7,21,1898
False,False,False,538.6,18,Wednesday,8,8,5602
True,False,True,172.6,22,Friday,9,38,981
False,False,False,268.6,19,Monday,9,2,7149
False,False,False,388.6,21,Wednesday,8,50,353
False,False,False,157.58,18,Saturday,10,40,1392
True,False,False,337.2,14,Sunday,7,23,790
False,False,False,179.58,23,Monday,5,10,2450
False,False,False,585.6,16,Sunday,8,24,2751
False,False,False,407.6,11,Friday,7,11,5508
False,False,False,421.6,4,Wednesday,8,16,2213
False,False,False,338.61,19,Saturday,10,21,771
True,False,False,200.6,16,Saturday,10,13,1844
False,False,False,313.19,10,Friday,9,59,3032
False,False,True,222.1,20,Thursday,9,48,423
False,False,True,188.6,16,Wednesday,9,28,2079
False,False,False,554.7,10,Monday,9,49,1553
True,False,False,196.6,10,Tuesday,10,27,1748
True,False,False,181.6,10,Wednesday,9,19,8224
False,False,False,514.1,15,Thursday,10,30,7081
True,False,False,287.6,17,Sunday,8,6,2305
False,False,False,268.6,14,Friday,8,28,1874
False,False,False,252.6,9,Wednesday,10,14,3040
False,False,False,614.6,19,Friday,8,46,6168
False,False,False,883.1,14,Sunday,8,54,248
False,False,False,218.58,3,Sunday,8,11,1733
False,False,False,391.61,14,Tuesday,7,9,2348
False,False,True,172.6,19,Thursday,8,50,382
False,False,True,228.6,15,Tuesday,8,44,1033
False,False,False,232.6,5,Tuesday,8,43,4790
False,False,False,361.6,11,Sunday,5,4,7231
False,False,False,551.6,14,Monday,6,17,4176
False,False,False,317.96,11,Tuesday,6,27,6055
False,False,True,228.6,17,Sunday,8,42,1137
False,False,False,676.6,10,Saturday,5,3,5064
False,False,False,720.6,13,Thursday,7,17,2500
False,False,False,287.1,11,Friday,8,21,4242
True,False,False,202.6,15,Friday,9,6,5427
False,False,False,385.6,21,Monday,7,57,0
False,False,False,89.59,19,Wednesday,10,25,344
False,False,False,417.2,18,Monday,11,38,315
False,False,False,450.1,14,Wednesday,8,9,670
False,False,False,107.6,15,Tuesday,8,21,3935
True,False,False,137.6,7,Wednesday,11,45,4918
False,False,True,458.6,17,Saturday,5,19,246
False,False,False,242.61,15,Monday,6,28,8257
False,False,False,148.58,16,Wednesday,7,40,2352
False,False,False,377.2,5,Monday,10,27,2089
False,False,False,290.6,15,Friday,6,35,1161
False,False,True,398.6,6,Tuesday,6,39,2433
False,False,True,128.6,23,Friday,8,25,6002
False,False,False,283.61,13,Friday,6,49,1631
False,False,False,279.6,18,Sunday,9,49,5682
False,False,True,145.99,20,Saturday,7,22,1396
False,False,False,374.01,17,Friday,8,49,2423
False,False,False,378.6,16,Tuesday,10,21,743
False,False,False,492.19,6,Monday,7,39,583
False,False,False,297.6,10,Saturday,8,2,2927
True,False,False,227.6,13,Monday,9,10,1358
True,False,False,128.6,22,Tuesday,8,37,597
False,False,False,667.1,14,Saturday,7,16,931
False,False,False,263.61,18,Wednesday,8,57,6701
False,False,False,407.6,21,Wednesday,8,56,1568
False,False,False,561.61,13,Saturday,7,12,546
False,False,False,736.2,9,Sunday,6,56,6229
True,False,True,118.6,16,Tuesday,9,45,5500
False,False,False,209.6,12,Tuesday,6,39,4621
False,False,False,378.61,21,Thursday,6,28,509
False,False,False,544.1,13,Wednesday,9,25,501
True,False,False,221.21,1,Wednesday,8,56,2737
False,False,True,404.6,15,Saturday,10,29,8071
False,False,True,228.6,13,Wednesday,10,7,1468
False,False,False,557.2,15,Saturday,9,11,2580
False,False,False,264.6,10,Sunday,7,55,3489
False,False,False,192.6,12,Friday,9,36,929
False,False,False,485.2,0,Friday,7,59,5565
False,False,False,472.21,12,Thursday,8,46,4577
False,False,True,243.6,19,Tuesday,7,3,1391
True,False,False,257.21,0,Saturday,5,21,788
False,False,False,289.61,10,Saturday,6,43,2511
False,False,True,257.1,20,Tuesday,10,9,41
False,False,False,511.6,5,Thursday,5,5,2158
True,False,True,198.6,22,Friday,9,15,6308
True,False,False,112.6,17,Monday,9,24,1664
False,False,False,518.61,11,Saturday,11,48,3727
False,False,True,478.6,16,Thursday,6,14,5147
False,False,False,143.6,17,Friday,7,25,3592
False,False,True,303.6,13,Wednesday,9,21,4526
False,False,False,553.6,21,Sunday,7,15,912
False,False,False,103.58,15,Wednesday,10,14,674
False,False,False,416.1,10,Sunday,9,7,1953
False,False,False,263.61,14,Thursday,8,38,7961
False,False,False,161.6,15,Wednesday,9,41,664
False,False,False,335.6,18,Monday,8,4,1134
False,False,False,317.6,11,Saturday,10,44,4256
True,False,False,161.1,15,Saturday,9,13,1934
False,False,False,385.7,13,Wednesday,9,19,2478
False,False,False,508.61,22,Monday,7,50,871
False,False,False,258.58,20,Sunday,9,6,1975
False,False,False,586.7,12,Sunday,8,42,7932
True,False,True,178.6,18,Saturday,9,34,1237
False,False,False,367.6,12,Tuesday,7,46,794
False,False,False,521.61,21,Sunday,7,48,1251
False,False,False,200.6,12,Monday,8,8,1493
False,False,False,407.6,19,Monday,10,18,2151
True,False,False,178.6,12,Tuesday,8,17,2426
False,False,True,152.6,10,Wednesday,9,11,1361
False,False,False,447.6,12,Friday,10,38,944
False,False,False,433.09,10,Friday,7,8,2305
False,False,False,261.59,19,Tuesday,9,18,5712
False,False,False,140.6,14,Saturday,9,42,688
False,False,False,428.2,10,Thursday,6,26,4125
False,False,True,224.6,22,Thursday,10,36,2085
False,False,True,290.6,18,Sunday,10,29,67
False,False,False,279.59,13,Monday,5,24,1611
False,False,False,75.99,17,Tuesday,10,16,1170
False,False,True,478.6,20,Tuesday,6,59,95
False,False,False,581.6,19,Sunday,7,55,2175
False,False,True,157.1,0,Tuesday,8,31,1353
False,False,False,442.19,1,Monday,10,41,2118
True,False,False,166.61,10,Wednesday,9,54,850
False,False,False,116.1,10,Wednesday,9,46,1771
False,False,False,643.61,17,Monday,5,32,1385
False,False,False,441.6,12,Wednesday,10,28,1400
True,False,False,203.6,18,Saturday,9,21,392
False,False,False,370.6,6,Saturday,10,55,3382
False,False,False,324.6,13,Thursday,8,12,4742
False,False,False,408.6,12,Saturday,8,16,1250
False,False,False,548.6,5,Saturday,8,51,1651
False,False,False,237.6,12,Saturday,8,6,5216
True,False,False,185.6,18,Wednesday,11,49,7270
True,False,True,83.6,14,Wednesday,10,27,3968
False,False,False,371.1,10,Friday,7,34,4222
False,False,False,841.6,11,Monday,8,23,1979
False,False,False,321.58,9,Friday,6,33,5666
False,False,False,322.61,19,Sunday,7,43,1821
False,False,True,248.6,15,Tuesday,10,42,1569
False,False,False,638.61,9,Thursday,8,15,1991
False,False,False,279.58,19,Sunday,7,31,4070
False,False,False,527.21,13,Thursday,5,21,6397
False,False,False,347.21,23,Wednesday,4,8,228
False,False,True,327.1,22,Sunday,9,10,2403
False,False,True,223.6,21,Friday,8,17,5540
False,False,False,247.61,10,Thursday,9,46,932
False,False,True,99.6,23,Thursday,7,20,951
False,False,False,417.6,19,Wednesday,6,37,1263
False,False,False,426.1,5,Sunday,5,8,1747
False,False,False,307.6,17,Tuesday,5,18,930
False,False,False,408.6,12,Wednesday,8,40,710
False,False,True,138.6,1,Wednesday,7,13,1277
False,False,False,281.6,21,Saturday,10,44,1609
False,False,False,623.6,4,Monday,7,51,1911
True,False,False,352.6,14,Wednesday,9,4,1173
False,False,False,181.1,15,Monday,6,46,3267
False,False,False,1247.2,23,Monday,8,10,743
False,False,False,627.2,13,Tuesday,6,16,8000
False,False,False,341.7,2,Monday,8,31,1028
False,False,False,273.2,11,Wednesday,8,16,6885
False,False,False,467.1,15,Saturday,7,14,8634
False,False,True,594.6,10,Sunday,6,30,1687
False,False,True,194.6,17,Monday,8,21,1336
False,False,False,211.7,2,Saturday,9,43,80
False,False,False,297.6,6,Wednesday,5,31,1035
False,False,True,318.6,15,Thursday,5,12,1454
False,False,False,447.6,20,Sunday,10,42,3848
False,False,False,458.6,17,Sunday,9,12,1083
False,False,False,757.27,6,Sunday,6,44,828
False,False,True,218.6,16,Monday,9,33,674
False,False,False,304.11,16,Monday,8,5,4727
True,False,True,138.6,14,Saturday,9,21,1624
False,False,False,271.6,11,Thursday,5,8,1664
False,False,True,498.6,17,Monday,6,3,1021
False,False,False,488.6,17,Sunday,10,11,3448
False,False,False,146.1,12,Monday,4,2,2603
False,False,False,295.6,12,Thursday,10,17,450
False,False,False,136.62,22,Sunday,9,53,3096
False,False,False,398.6,20,Thursday,9,1,4452
False,False,False,306.78,23,Sunday,7,25,1941
False,False,False,177.61,14,Wednesday,8,14,3963
False,False,True,193.6,14,Sunday,7,35,2397
True,False,False,167.6,12,Tuesday,9,40,2435
False,False,False,501.6,16,Saturday,10,37,1071
False,False,True,205.6,13,Wednesday,6,13,6104
False,False,False,253.6,12,Thursday,8,1,2402
False,False,True,607.6,16,Sunday,5,34,3937
False,False,True,828.6,16,Wednesday,6,23,4626
False,False,True,50.98,14,Wednesday,5,15,4358
False,False,True,1073.6,6,Friday,7,16,1206
False,False,True,259.6,19,Tuesday,6,19,6520
False,False,False,127.6,18,Friday,9,53,83
False,False,False,457.1,16,Friday,5,31,700
False,False,False,491.6,13,Saturday,5,7,2422
False,False,False,272.6,19,Friday,10,25,742
False,False,False,215.6,20,Tuesday,8,59,3598
False,False,True,197.1,10,Wednesday,10,30,3959
False,False,False,521.14,12,Monday,9,43,1585
False,False,False,542.2,10,Sunday,7,46,400
False,False,True,143.6,13,Friday,8,3,1338
False,False,True,303.6,18,Saturday,8,36,8384
False,False,True,198.6,0,Tuesday,10,26,1681
False,False,False,467.7,15,Monday,9,11,1611
False,False,False,117.6,21,Thursday,9,45,696
True,False,False,136.6,12,Tuesday,8,24,1876
False,False,False,294.6,10,Tuesday,6,4,4222
False,False,True,518.59,5,Tuesday,8,50,84
False,False,False,624.7,19,Wednesday,9,29,1207
False,False,True,280.6,12,Sunday,7,32,423
False,False,False,411.6,17,Friday,6,27,4229
False,False,False,311.6,14,Thursday,10,27,3334
False,False,True,248.61,1,Monday,8,48,2358
False,False,True,208.61,19,Monday,7,37,3655
False,False,False,499.58,20,Monday,6,2,5744
False,False,True,347.1,21,Saturday,7,21,1710
False,False,True,83.6,13,Friday,6,48,2117
False,False,False,327.61,18,Thursday,9,47,1693
False,False,True,408.6,20,Thursday,7,21,1076
False,False,False,267.6,15,Tuesday,6,3,1991
False,False,True,237.1,2,Tuesday,6,8,7195
False,False,True,205.6,23,Tuesday,6,13,196
False,False,True,308.6,16,Wednesday,11,30,74
False,False,True,500.64,10,Sunday,8,2,1220
False,False,False,357.1,13,Saturday,9,51,3798
False,False,False,716.2,14,Sunday,7,19,6117
False,False,False,253.6,18,Monday,9,20,612
False,False,False,366.1,17,Monday,8,54,7352
True,False,False,193.6,17,Monday,10,29,1635
False,False,False,457.6,18,Saturday,4,7,3252
False,False,False,468.6,12,Sunday,7,12,893
False,False,False,221.1,11,Monday,7,7,772
False,False,False,541.6,11,Thursday,6,4,2484
False,False,False,218.59,6,Monday,10,38,1625
False,False,False,301.1,15,Monday,10,7,652
False,False,False,807.6,19,Friday,10,2,1455
False,False,False,370.6,23,Tuesday,8,60,1173
False,False,False,877.1,12,Sunday,8,43,2041
True,False,True,78.6,1,Saturday,7,28,2704
False,False,False,209.58,19,Saturday,8,50,1898
False,False,False,437.6,17,Tuesday,8,21,2388
False,False,False,562.2,13,Monday,6,13,8661
True,False,False,102.6,11,Wednesday,11,45,1948
False,False,False,502.7,22,Saturday,10,33,87
True,False,False,380.3,13,Wednesday,8,29,4999
False,False,False,368.6,4,Tuesday,8,51,490
False,False,True,528.6,14,Monday,9,11,1113
False,False,True,218.6,19,Thursday,9,41,3784
False,False,False,451.6,13,Saturday,5,21,8047
True,False,True,118.6,0,Saturday,6,20,1192
False,False,False,707.54,15,Monday,9,32,1182
False,False,True,318.6,16,Tuesday,6,48,8738
False,False,True,233.6,13,Sunday,7,50,4422
False,False,False,271.58,12,Saturday,7,33,4819
False,False,False,203.2,0,Wednesday,10,31,4728
False,False,True,118.6,10,Tuesday,10,13,5673
True,False,True,133.6,10,Thursday,5,24,5286
False,False,False,251.6,16,Friday,8,9,3290
False,False,False,308.6,12,Monday,8,44,1033
False,False,False,300.07,2,Monday,9,56,2579
False,False,True,389.6,3,Friday,10,22,6862
False,False,False,471.61,18,Saturday,9,57,4942
False,False,False,408.6,12,Tuesday,5,16,3139
False,False,False,469.1,10,Friday,8,42,1616
False,False,True,318.6,22,Sunday,6,7,4757
True,False,False,129.1,22,Monday,10,28,776
False,False,True,410.35,18,Monday,9,18,950
False,False,False,351.09,11,Tuesday,7,60,387
True,False,False,187.6,15,Tuesday,10,4,2397
False,False,False,433.2,6,Friday,8,41,778
True,False,True,93.6,18,Tuesday,10,38,7068
True,False,False,131.61,13,Tuesday,9,43,1154
False,False,False,214.6,22,Tuesday,9,47,1320
False,False,False,312.6,17,Thursday,9,33,4526
False,False,False,327.6,17,Monday,7,30,224
False,False,False,511.6,14,Friday,7,42,465
False,False,False,181.6,12,Monday,7,21,5135
False,False,False,329.58,11,Sunday,6,3,1215
False,False,False,226.6,15,Saturday,9,31,3339
False,False,False,368.6,16,Thursday,7,19,2007
False,False,False,305.61,10,Thursday,9,30,4594
False,False,False,412.1,13,Saturday,9,9,1207
False,False,False,172.2,5,Sunday,9,48,500
False,False,False,233.1,12,Saturday,6,50,1605
False,False,False,307.2,6,Sunday,5,13,6422
True,False,False,247.6,2,Tuesday,9,49,8036
False,False,False,547.54,14,Thursday,8,45,8107
False,False,False,298.6,19,Friday,9,28,3213
False,False,False,358.6,16,Wednesday,9,13,4173
False,False,True,308.6,23,Sunday,8,43,2418
False,False,False,276.61,3,Thursday,10,28,821
False,False,False,1097.1,14,Thursday,8,34,1333
False,False,False,574.2,10,Saturday,10,19,2420
True,False,True,141.6,19,Wednesday,7,42,4669
False,False,False,337.21,14,Friday,6,35,2632
False,False,False,447.6,17,Sunday,8,24,7793
False,False,False,273.58,17,Sunday,9,7,705
False,False,False,167.6,17,Friday,7,4,743
False,False,True,259.6,14,Thursday,10,1,4516
False,False,False,467.61,15,Thursday,6,12,2409
False,False,True,338.61,21,Saturday,5,24,3634
False,False,False,418.1,17,Saturday,10,20,655
False,False,False,151.58,10,Saturday,9,5,2139
False,False,False,508.7,10,Friday,6,22,737
False,False,True,158.6,23,Friday,5,2,1404
False,False,False,257.6,16,Thursday,9,8,3883
True,False,False,307.6,20,Sunday,10,25,2306
False,False,False,430.1,9,Friday,10,25,3892
False,False,False,203.6,15,Wednesday,8,45,2315
False,False,False,288.2,15,Thursday,7,22,662
False,False,False,607.61,13,Saturday,7,37,1050
False,False,True,43.6,21,Wednesday,5,21,651
False,False,False,278.6,11,Saturday,9,14,516
False,False,False,662.2,14,Sunday,8,20,5682
False,False,False,210.1,11,Sunday,7,1,198
False,False,False,461.6,10,Thursday,6,34,6194
False,False,False,256.1,10,Saturday,8,39,1990
False,False,False,135.58,1,Wednesday,10,12,1695
False,False,False,573.65,17,Sunday,8,19,476
False,False,False,662.19,5,Monday,6,35,790
True,False,True,174.72,14,Saturday,8,54,1764
False,False,True,318.6,14,Saturday,9,55,4383
False,False,False,117.6,12,Wednesday,7,7,1365
False,False,False,328.6,14,Thursday,8,19,5101
False,False,False,317.6,20,Tuesday,8,44,1258
True,False,False,267.7,0,Tuesday,10,29,371
False,False,True,407.1,1,Sunday,9,4,1557
True,False,False,147.2,12,Tuesday,9,27,772
False,False,False,262.59,23,Monday,7,58,5286
False,False,True,358.6,10,Monday,8,16,3391
False,False,False,211.6,12,Tuesday,8,31,1586
False,False,False,614.6,15,Thursday,6,32,2068
True,False,True,78.6,19,Thursday,6,11,4965
False,False,False,501.7,12,Tuesday,10,41,5960
False,False,False,557.6,18,Sunday,7,9,522
False,False,False,428.58,17,Sunday,6,45,408
True,False,False,202.2,19,Friday,5,11,3761
False,False,False,409.6,23,Monday,9,2,1995
False,False,False,586.6,18,Wednesday,6,34,1690
False,False,False,657.6,16,Friday,7,40,1805
False,False,False,588.08,23,Thursday,8,1,2253
False,False,True,258.6,13,Friday,8,49,770
False,False,False,443.6,18,Sunday,10,37,2271
False,False,False,182.6,15,Tuesday,7,7,8414
False,False,True,163.6,12,Thursday,9,20,294
True,False,False,300.6,7,Saturday,8,12,670
False,False,False,379.2,13,Wednesday,7,41,2413
True,False,True,178.6,12,Saturday,5,14,797
False,False,False,327.6,20,Wednesday,5,8,819
False,False,False,221.58,15,Sunday,6,48,1905
True,False,True,88.6,12,Wednesday,5,15,998
True,False,False,147.6,12,Saturday,8,24,2162
False,False,False,390.62,4,Wednesday,7,29,4593
False,False,True,188.6,14,Thursday,8,27,734
False,False,False,390.21,10,Friday,8,19,5181
False,False,True,237.6,15,Tuesday,6,20,1985
False,False,False,320.58,15,Sunday,5,4,994
False,False,False,542.6,19,Tuesday,9,56,2768
False,False,False,368.6,10,Friday,7,4,1571
False,False,False,460.6,13,Friday,8,33,2560
False,False,False,447.69,17,Saturday,11,36,61
False,False,False,445.2,20,Thursday,9,42,2417
False,False,False,109.59,13,Wednesday,10,40,5123
False,False,False,389.61,10,Friday,8,1,2052
True,False,False,317.2,1,Wednesday,5,17,1543
False,False,True,192.6,17,Thursday,5,22,7854
True,False,False,107.6,10,Thursday,9,52,8590
True,False,False,257.7,1,Monday,9,23,1977
False,False,True,259.6,21,Friday,8,9,1400
False,False,False,227.6,12,Friday,9,7,1048
False,False,False,325.6,6,Friday,8,24,5501
False,False,False,628.2,17,Thursday,5,28,6325
True,False,False,217.61,16,Sunday,9,12,1231
True,False,True,73.6,1,Monday,5,11,734
False,False,True,114.0,22,Friday,10,32,2364
False,False,False,346.11,0,Friday,9,3,561
False,False,True,195.6,14,Wednesday,5,36,1076
False,False,False,605.61,11,Wednesday,8,52,466
False,False,False,538.6,19,Friday,6,36,7894
False,False,False,146.59,16,Thursday,5,12,352
False,False,True,318.6,20,Thursday,6,6,237
False,False,True,103.6,13,Wednesday,11,41,79
False,False,True,423.61,10,Thursday,6,1,3203
False,False,False,676.1,1,Tuesday,8,20,4571
False,False,False,636.1,19,Wednesday,10,37,871
False,False,True,458.6,15,Wednesday,7,60,5556
False,False,True,205.6,10,Sunday,8,46,153
False,False,False,487.19,18,Wednesday,5,17,484
False,False,True,708.6,17,Saturday,7,58,3660
False,False,False,297.11,10,Thursday,5,35,821
True,False,False,67.6,10,Thursday,10,26,1889
False,False,False,318.6,14,Wednesday,6,40,935
False,False,False,436.6,14,Thursday,9,4,7217
False,False,False,467.6,15,Wednesday,6,44,1048
False,False,True,468.61,23,Thursday,7,40,970
False,False,True,308.6,23,Friday,9,9,432
False,False,False,368.6,6,Wednesday,8,23,1564
False,False,False,607.61,17,Tuesday,8,1,5383
False,False,True,288.6,22,Sunday,9,44,396
True,False,False,212.6,6,Sunday,9,6,3769
False,False,False,377.6,10,Monday,10,5,9227
False,False,True,147.1,15,Thursday,5,35,2594
True,False,True,198.6,23,Tuesday,9,25,787
False,False,True,358.6,9,Saturday,7,41,5405
True,False,False,217.61,14,Tuesday,9,9,2957
True,False,False,170.1,12,Saturday,8,23,1055
False,False,False,481.12,15,Sunday,10,4,4679
False,False,False,483.6,6,Friday,9,58,222
False,False,False,581.6,10,Tuesday,6,47,4099
False,False,False,525.6,5,Tuesday,5,12,3216
False,False,False,555.1,10,Sunday,4,7,4456
True,False,False,287.6,11,Friday,10,47,6202
False,False,True,357.1,21,Thursday,5,11,7230
False,False,False,160.1,17,Monday,7,22,1694
True,False,False,102.6,11,Tuesday,9,7,1040
False,False,True,238.6,17,Monday,7,39,4323
False,False,False,217.61,12,Thursday,9,59,5834
False,False,False,492.2,13,Saturday,7,26,430
False,False,False,386.1,19,Friday,9,26,2841
True,False,False,158.2,2,Wednesday,9,52,1013
False,False,False,115.58,14,Thursday,6,47,4045
False,False,True,98.6,21,Tuesday,7,20,563
False,False,False,586.1,14,Friday,9,20,2042
False,False,False,370.6,6,Thursday,9,29,846
False,False,False,238.6,15,Thursday,5,3,748
False,False,False,306.1,21,Tuesday,5,2,466
False,False,False,588.6,21,Sunday,6,11,1491
False,False,True,1687.6,16,Friday,9,19,241
False,False,False,288.6,12,Monday,9,9,2088
False,False,True,435.14,13,Friday,6,43,889
False,False,False,187.6,15,Saturday,9,53,736
False,False,False,361.6,21,Friday,5,21,4890
True,False,False,152.6,12,Tuesday,8,3,1203
False,False,True,188.6,10,Saturday,5,4,6219
True,False,False,238.6,12,Wednesday,9,58,7798
False,False,False,699.68,15,Tuesday,9,48,4038
True,False,False,185.71,5,Wednesday,9,21,1207
False,False,True,298.6,23,Tuesday,9,44,2115
False,False,False,438.11,12,Tuesday,9,4,368
False,False,False,173.58,19,Saturday,5,12,6990
False,False,False,378.6,11,Sunday,9,11,414
False,False,False,195.6,16,Thursday,11,46,741
False,False,False,142.96,16,Friday,7,40,2399
False,False,True,217.1,19,Saturday,8,43,2368
True,False,True,98.6,10,Saturday,9,51,4047
False,False,False,368.6,20,Thursday,9,41,1631
False,False,False,410.7,1,Sunday,5,9,4798
False,False,False,447.2,2,Wednesday,7,33,8821
False,False,True,172.6,1,Tuesday,8,28,7666
False,False,False,370.6,14,Thursday,8,2,1524
True,False,False,172.6,16,Saturday,9,43,8414
False,False,False,514.11,15,Saturday,9,33,382
False,False,False,337.6,9,Saturday,10,17,2516
False,False,False,481.2,14,Saturday,11,45,4514
False,False,False,176.58,9,Friday,7,30,1311
False,False,False,337.1,22,Friday,7,16,4626
False,False,False,365.6,10,Saturday,8,15,2583
False,False,True,228.6,19,Sunday,8,41,2519
False,False,False,294.6,18,Tuesday,8,9,868
False,False,False,460.6,19,Saturday,7,6,4586
False,False,False,392.68,4,Tuesday,5,6,1420
False,False,True,98.99,20,Wednesday,6,16,871
False,False,False,371.6,14,Thursday,8,13,4110
False,False,False,263.58,13,Saturday,7,47,8428
False,False,False,375.6,15,Friday,9,60,507
False,False,False,481.11,12,Sunday,5,2,845
False,False,False,502.2,10,Friday,6,32,1258
False,False,False,205.07,23,Friday,11,40,4369
False,False,False,296.1,10,Wednesday,9,31,1875
False,False,True,63.99,3,Sunday,8,53,713
False,False,False,457.2,14,Wednesday,9,37,5613
False,False,False,837.1,14,Wednesday,6,50,4605
False,False,False,300.6,11,Tuesday,9,12,2322
False,False,False,323.6,14,Sunday,10,46,4694
False,False,True,429.6,23,Saturday,6,43,5756
False,False,False,168.58,16,Sunday,7,44,749
True,False,False,111.6,12,Wednesday,8,35,1667
False,False,True,418.6,23,Monday,10,17,4351
False,False,False,1141.6,1,Saturday,7,28,1930
True,False,False,247.2,13,Thursday,9,38,6390
False,False,False,445.59,20,Monday,9,53,10032
False,False,False,334.6,17,Saturday,10,40,4734
True,False,False,192.6,17,Sunday,7,11,4771
False,False,False,229.58,21,Thursday,7,54,897
False,False,False,174.58,11,Tuesday,7,38,8140
False,False,False,134.58,19,Tuesday,8,37,1526
False,False,False,336.6,14,Monday,9,6,2642
False,False,True,205.6,1,Wednesday,7,20,2592
False,False,False,332.58,15,Monday,9,18,5033
False,False,False,269.1,14,Wednesday,8,53,674
False,False,False,591.07,1,Friday,6,56,4095
True,False,True,73.6,15,Tuesday,9,23,844
False,False,True,224.6,22,Friday,10,39,1146
False,False,False,491.6,18,Tuesday,11,36,520
False,False,False,488.1,13,Wednesday,10,4,9100
False,False,False,199.1,12,Wednesday,8,11,7418
False,False,True,118.6,23,Tuesday,7,47,256
False,False,False,647.6,17,Sunday,6,44,929
True,False,True,108.6,12,Wednesday,9,55,528
False,False,False,257.58,1,Saturday,5,14,4509
False,False,False,661.6,11,Monday,5,34,1180
False,False,False,507.6,12,Sunday,10,43,5582
